id,identifier,type_id,power,pp,accuracy,priority,target_id,damage_class_id,effect_id,effect_chance,meta_category_id,meta_ailment_id,min_hits,max_hits,min_turns,max_turns,drain,healing,crit_rate,ailment_chance,flinch_chance,stat_chance
43,Leer,1,,30,100,0,11,1,20,100,2,0,,,,,0,0,0,0,0,100
44,Bite,17,60,25,100,0,10,2,32,30,0,0,,,,,0,0,0,0,30,0
45,Growl,1,,40,100,0,11,1,19,,2,0,,,,,0,0,0,0,0,0
46,Roar,1,,20,,-6,10,1,29,,12,0,,,,,0,0,0,0,0,0
47,Sing,1,,15,55,0,10,1,2,,1,2,,,2,4,0,0,0,0,0,0
48,Supersonic,1,,20,55,0,10,1,50,,1,6,,,2,5,0,0,0,0,0,0
49,Sonic Boom,1,,20,90,0,10,3,131,,0,0,,,,,0,0,0,0,0,0
50,Disable,1,,20,100,0,10,1,87,,13,13,,,4,4,0,0,0,0,0,0
51,Acid,4,40,30,100,0,11,3,73,10,6,0,,,,,0,0,0,0,0,10
52,Ember,10,40,25,100,0,10,3,5,10,4,4,,,,,0,0,0,10,0,0
53,Flamethrower,10,90,15,100,0,10,3,5,10,4,4,,,,,0,0,0,10,0,0
54,Mist,15,,30,,0,4,1,47,,11,0,,,,,0,0,0,0,0,0
55,Water Gun,11,40,25,100,0,10,3,1,,0,0,,,,,0,0,0,0,0,0
56,Hydro Pump,11,110,5,80,0,10,3,1,,0,0,,,,,0,0,0,0,0,0
57,Surf,11,90,15,100,0,9,3,258,,0,0,,,,,0,0,0,0,0,0
58,Ice Beam,15,90,10,100,0,10,3,6,10,4,3,,,,,0,0,0,10,0,0
59,Blizzard,15,110,5,70,0,11,3,261,10,4,3,,,,,0,0,0,10,0,0
60,Psybeam,14,65,20,100,0,10,3,77,10,4,6,,,2,5,0,0,0,10,0,0
61,Bubble Beam,11,65,20,100,0,10,3,71,10,6,0,,,,,0,0,0,0,0,10
62,Aurora Beam,15,65,20,100,0,10,3,69,10,6,0,,,,,0,0,0,0,0,10
63,Hyper Beam,1,150,5,90,0,10,3,81,,0,0,,,,,0,0,0,0,0,0
64,Peck,3,35,35,100,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
65,Drill Peck,3,80,20,100,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
66,Submission,2,80,20,80,0,10,2,49,,0,0,,,,,-25,0,0,0,0,0
67,Low Kick,2,,20,100,0,10,2,197,,0,0,,,,,0,0,0,0,0,0
68,Counter,2,,20,100,-5,1,2,90,,0,0,,,,,0,0,0,0,0,0
69,Seismic Toss,2,,20,100,0,10,2,88,,0,0,,,,,0,0,0,0,0,0
70,Strength,1,80,15,100,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
71,Absorb,12,20,25,100,0,10,3,4,,8,0,,,,,50,0,0,0,0,0
72,Mega Drain,12,40,15,100,0,10,3,4,,8,0,,,,,50,0,0,0,0,0
73,Leech Seed,12,,10,90,0,10,1,85,,1,18,,,,,0,0,0,0,0,0
74,Growth,1,,20,,0,7,1,317,,2,0,,,,,0,0,0,0,0,0
75,Razor Leaf,12,55,25,95,0,11,2,44,,0,0,,,,,0,0,1,0,0,0
76,Solar Beam,12,120,10,100,0,10,3,152,,0,0,,,,,0,0,0,0,0,0
77,Poison Powder,4,,35,75,0,10,1,67,,1,5,,,,,0,0,0,0,0,0
78,Stun Spore,12,,30,75,0,10,1,68,,1,1,,,,,0,0,0,0,0,0
79,Sleep Powder,12,,15,75,0,10,1,2,,1,2,,,2,4,0,0,0,0,0,0
80,Petal Dance,12,120,10,100,0,8,3,28,,0,0,,,,,0,0,0,0,0,0
81,String Shot,7,,40,95,0,11,1,61,,2,0,,,,,0,0,0,0,0,0
82,Dragon Rage,16,,10,100,0,10,3,42,,0,0,,,,,0,0,0,0,0,0
83,Fire Spin,10,35,15,85,0,10,3,43,100,4,8,,,5,6,0,0,0,100,0,0
84,Thunder Shock,13,40,30,100,0,10,3,7,10,4,1,,,,,0,0,0,10,0,0
85,Thunderbolt,13,90,15,100,0,10,3,7,10,4,1,,,,,0,0,0,10,0,0
86,Thunder Wave,13,,20,90,0,10,1,68,,1,1,,,,,0,0,0,0,0,0
87,Thunder,13,110,10,70,0,10,3,153,30,4,1,,,,,0,0,0,30,0,0
88,Rock Throw,6,50,15,90,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
89,Earthquake,5,100,10,100,0,9,2,148,,0,0,,,,,0,0,0,0,0,0
90,Fissure,5,,5,30,0,10,2,39,,9,0,,,,,0,0,0,0,0,0
91,Dig,5,80,10,100,0,10,2,257,,0,0,,,,,0,0,0,0,0,0
92,Toxic,4,,10,90,0,10,1,34,,1,5,,,15,15,0,0,0,0,0,0
93,Confusion,14,50,25,100,0,10,3,77,10,4,6,,,2,5,0,0,0,10,0,0
94,Psychic,14,90,10,100,0,10,3,73,10,6,0,,,,,0,0,0,0,0,10
95,Hypnosis,14,,20,60,0,10,1,2,,1,2,,,2,4,0,0,0,0,0,0
96,Meditate,14,,40,,0,7,1,11,,2,0,,,,,0,0,0,0,0,0
97,Agility,14,,30,,0,7,1,53,,2,0,,,,,0,0,0,0,0,0
98,Quick Attack,1,40,30,100,1,10,2,104,,0,0,,,,,0,0,0,0,0,0
99,Rage,1,20,20,100,0,10,2,82,,0,0,,,,,0,0,0,0,0,0
100,Teleport,14,,20,,-6,7,1,154,,13,0,,,,,0,0,0,0,0,0
101,Night Shade,8,,15,100,0,10,3,88,,0,0,,,,,0,0,0,0,0,0
102,Mimic,1,,10,,0,10,1,83,,13,0,,,,,0,0,0,0,0,0
103,Screech,1,,40,85,0,10,1,60,,2,0,,,,,0,0,0,0,0,0
104,Double Team,1,,15,,0,7,1,17,,2,0,,,,,0,0,0,0,0,0
105,Recover,1,,10,,0,7,1,33,,3,0,,,,,0,50,0,0,0,0
106,Harden,1,,30,,0,7,1,12,,2,0,,,,,0,0,0,0,0,0
107,Minimize,1,,10,,0,7,1,109,,2,0,,,,,0,0,0,0,0,0
108,Smokescreen,1,,20,100,0,10,1,24,,2,0,,,,,0,0,0,0,0,0
109,Confuse Ray,8,,10,100,0,10,1,50,,1,6,,,2,5,0,0,0,0,0,0
110,Withdraw,11,,40,,0,7,1,12,,2,0,,,,,0,0,0,0,0,0
111,Defense Curl,1,,40,,0,7,1,157,,2,0,,,,,0,0,0,0,0,0
112,Barrier,14,,20,,0,7,1,52,,2,0,,,,,0,0,0,0,0,0
113,Light Screen,14,,30,,0,4,1,36,,11,0,,,,,0,0,0,0,0,0
114,Haze,15,,30,,0,12,1,26,,10,0,,,,,0,0,0,0,0,0
115,Reflect,14,,20,,0,4,1,66,,11,0,,,,,0,0,0,0,0,0
116,Focus Energy,1,,30,,0,7,1,48,,13,0,,,,,0,0,0,0,0,0
117,Bide,1,,10,,1,7,2,27,,0,0,,,,,0,0,0,0,0,0
118,Metronome,1,,10,,0,7,1,84,,13,0,,,,,0,0,0,0,0,0
119,Mirror Move,3,,20,,0,10,1,10,,13,0,,,,,0,0,0,0,0,0
120,Self Destruct,1,200,5,100,0,9,2,8,,0,0,,,,,0,0,0,0,0,0
121,Egg Bomb,1,100,10,75,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
122,Lick,8,30,30,100,0,10,2,7,30,4,1,,,,,0,0,0,30,0,0
123,Smog,4,30,20,70,0,10,3,3,40,4,5,,,,,0,0,0,40,0,0
124,Sludge,4,65,20,100,0,10,3,3,30,4,5,,,,,0,0,0,30,0,0
125,Bone Club,5,65,20,85,0,10,2,32,10,0,0,,,,,0,0,0,0,10,0
126,Fire Blast,10,110,5,85,0,10,3,5,10,4,4,,,,,0,0,0,10,0,0
127,Waterfall,11,80,15,100,0,10,2,32,20,0,0,,,,,0,0,0,0,20,0
128,Clamp,11,35,15,85,0,10,2,43,100,4,8,,,5,6,0,0,0,100,0,0
129,Swift,1,60,20,,0,11,3,18,,0,0,,,,,0,0,0,0,0,0
130,Skull Bash,1,130,10,100,0,10,2,146,100,0,0,,,,,0,0,0,100,0,0
131,Spike Cannon,1,20,15,100,0,10,2,30,,0,0,2,5,,,0,0,0,0,0,0
132,Constrict,1,10,35,100,0,10,2,71,10,6,0,,,,,0,0,0,0,0,10
133,Amnesia,14,,20,,0,7,1,55,,2,0,,,,,0,0,0,0,0,0
134,Kinesis,14,,15,80,0,10,1,24,,2,0,,,,,0,0,0,0,0,0
135,Soft Boiled,1,,10,,0,7,1,33,,3,0,,,,,0,50,0,0,0,0
136,High Jump Kick,2,130,10,90,0,10,2,46,,0,0,,,,,0,0,0,0,0,0
137,Glare,1,,30,100,0,10,1,68,,1,1,,,,,0,0,0,0,0,0
138,Dream Eater,14,100,15,100,0,10,3,9,,8,0,,,,,50,0,0,0,0,0
139,Poison Gas,4,,40,90,0,11,1,67,,1,5,,,,,0,0,0,0,0,0
140,Barrage,1,15,20,85,0,10,2,30,,0,0,2,5,,,0,0,0,0,0,0
141,Leech Life,7,80,10,100,0,10,2,4,,8,0,,,,,50,0,0,0,0,0
142,Lovely Kiss,1,,10,75,0,10,1,2,,1,2,,,2,4,0,0,0,0,0,0
143,Sky Attack,3,140,5,90,0,10,2,76,30,0,0,,,,,0,0,1,0,30,0
144,Transform,1,,10,,0,10,1,58,,13,0,,,,,0,0,0,0,0,0
145,Bubble,11,40,30,100,0,11,3,71,10,6,0,,,,,0,0,0,0,0,10
146,Dizzy Punch,1,70,10,100,0,10,2,77,20,4,6,,,2,5,0,0,0,20,0,0
147,Spore,12,,15,100,0,10,1,2,,1,2,,,2,4,0,0,0,0,0,0
148,Flash,1,,20,100,0,10,1,24,,2,0,,,,,0,0,0,0,0,0
149,Psywave,14,,15,100,0,10,3,89,,0,0,,,,,0,0,0,0,0,0
150,Splash,1,,40,,0,7,1,86,,13,0,,,,,0,0,0,0,0,0
151,Acid Armor,4,,20,,0,7,1,52,,2,0,,,,,0,0,0,0,0,0
152,Crabhammer,11,100,10,90,0,10,2,44,,0,0,,,,,0,0,1,0,0,0
153,Explosion,1,250,5,100,0,9,2,8,,0,0,,,,,0,0,0,0,0,0
154,Fury Swipes,1,18,15,80,0,10,2,30,,0,0,2,5,,,0,0,0,0,0,0
155,Bonemerang,5,50,10,90,0,10,2,45,,0,0,2,2,,,0,0,0,0,0,0
156,Rest,14,,10,,0,7,1,38,,13,0,,,,,0,0,0,0,0,0
157,Rock Slide,6,75,10,90,0,11,2,32,30,0,0,,,,,0,0,0,0,30,0
158,Hyper Fang,1,80,15,90,0,10,2,32,10,0,0,,,,,0,0,0,0,10,0
159,Sharpen,1,,30,,0,7,1,11,,2,0,,,,,0,0,0,0,0,0
160,Conversion,1,,30,,0,7,1,31,,13,0,,,,,0,0,0,0,0,0
161,Tri Attack,1,80,10,100,0,10,3,37,20,4,-1,,,,,0,0,0,20,0,0
162,Super Fang,1,,10,90,0,10,2,41,,0,0,,,,,0,0,0,0,0,0
163,Slash,1,70,20,100,0,10,2,44,,0,0,,,,,0,0,1,0,0,0
164,Substitute,1,,10,,0,7,1,80,,13,0,,,,,0,0,0,0,0,0
165,Struggle,1,50,1,,0,8,2,255,,0,0,,,,,0,-25,0,0,0,0
166,Sketch,1,,1,,0,10,1,96,,13,0,,,,,0,0,0,0,0,0
167,Triple Kick,2,10,10,90,0,10,2,105,,0,0,3,3,,,0,0,0,0,0,0
168,Thief,17,60,25,100,0,10,2,106,,0,0,,,,,0,0,0,0,0,0
169,Spider Web,7,,10,,0,10,1,107,,13,0,,,,,0,0,0,0,0,0
170,Mind Reader,1,,5,,0,10,1,95,,13,0,,,,,0,0,0,0,0,0
171,Nightmare,8,,15,100,0,10,1,108,,1,9,,,,,0,0,0,0,0,0
172,Flame Wheel,10,60,25,100,0,10,2,126,10,4,4,,,,,0,0,0,10,0,0
173,Snore,1,50,15,100,0,10,3,93,30,0,0,,,,,0,0,0,0,30,0
174,Curse,8,,10,,0,1,1,110,,13,0,,,,,0,0,0,0,0,0
175,Flail,1,,15,100,0,10,2,100,,0,0,,,,,0,0,0,0,0,0
176,Conversion 2,1,,30,,0,10,1,94,,13,0,,,,,0,0,0,0,0,0
177,Aeroblast,3,100,5,95,0,10,3,44,,0,0,,,,,0,0,1,0,0,0
178,Cotton Spore,12,,40,100,0,11,1,61,,2,0,,,,,0,0,0,0,0,0
179,Reversal,2,,15,100,0,10,2,100,,0,0,,,,,0,0,0,0,0,0
180,Spite,8,,10,100,0,10,1,101,,13,0,,,,,0,0,0,0,0,0
181,Powder Snow,15,40,25,100,0,11,3,6,10,4,3,,,,,0,0,0,10,0,0
182,Protect,1,,10,,4,7,1,112,,13,0,,,,,0,0,0,0,0,0
183,Mach Punch,2,40,30,100,1,10,2,104,,0,0,,,,,0,0,0,0,0,0
184,Scary Face,1,,10,100,0,10,1,61,,2,0,,,,,0,0,0,0,0,0
185,Feint Attack,17,60,20,,0,10,2,18,,0,0,,,,,0,0,0,0,0,0
186,Sweet Kiss,18,,10,75,0,10,1,50,,1,6,,,2,5,0,0,0,0,0,0
187,Belly Drum,1,,10,,0,7,1,143,,13,0,,,,,0,0,0,0,0,0
188,Sludge Bomb,4,90,10,100,0,10,3,3,30,4,5,,,,,0,0,0,30,0,0
189,Mud Slap,5,20,10,100,0,10,3,74,100,6,0,,,,,0,0,0,0,0,100
190,Octazooka,11,65,10,85,0,10,3,74,50,6,0,,,,,0,0,0,0,0,50
191,Spikes,5,,20,,0,6,1,113,,11,0,,,,,0,0,0,0,0,0
192,Zap Cannon,13,120,5,50,0,10,3,7,100,4,1,,,,,0,0,0,100,0,0
193,Foresight,1,,40,,0,10,1,114,,1,17,,,,,0,0,0,0,0,0
194,Destiny Bond,8,,5,,0,7,1,99,,13,0,,,,,0,0,0,0,0,0
195,Perish Song,1,,5,,0,14,1,115,,1,20,,,4,4,0,0,0,0,0,0
196,Icy Wind,15,55,15,95,0,11,3,71,100,6,0,,,,,0,0,0,0,0,100
197,Detect,2,,5,,4,7,1,112,,13,0,,,,,0,0,0,0,0,0
198,Bone Rush,5,25,10,90,0,10,2,30,,0,0,2,5,,,0,0,0,0,0,0
199,Lock On,1,,5,,0,10,1,95,,13,0,,,,,0,0,0,0,0,0
200,Outrage,16,120,10,100,0,8,2,28,,0,0,,,,,0,0,0,0,0,0
201,Sandstorm,6,,10,,0,12,1,116,,10,0,,,,,0,0,0,0,0,0
202,Giga Drain,12,75,10,100,0,10,3,4,,8,0,,,,,50,0,0,0,0,0
203,Endure,1,,10,,4,7,1,117,,13,0,,,,,0,0,0,0,0,0
204,Charm,18,,20,100,0,10,1,59,,2,0,,,,,0,0,0,0,0,0
205,Rollout,6,30,20,90,0,10,2,118,,0,0,,,,,0,0,0,0,0,0
206,False Swipe,1,40,40,100,0,10,2,102,,0,0,,,,,0,0,0,0,0,0
207,Swagger,1,,15,85,0,10,1,119,,5,6,,,2,5,0,0,0,0,0,0
208,Milk Drink,1,,10,,0,7,1,33,,3,0,,,,,0,50,0,0,0,0
209,Spark,13,65,20,100,0,10,2,7,30,4,1,,,,,0,0,0,30,0,0
210,Fury Cutter,7,40,20,95,0,10,2,120,,0,0,,,,,0,0,0,0,0,0
211,Steel Wing,9,70,25,90,0,10,2,139,10,7,0,,,,,0,0,0,0,0,10
212,Mean Look,1,,5,,0,10,1,107,,13,0,,,,,0,0,0,0,0,0
213,Attract,1,,15,100,0,10,1,121,,1,7,,,,,0,0,0,0,0,0
214,Sleep Talk,1,,10,,0,7,1,98,,13,0,,,,,0,0,0,0,0,0
215,Heal Bell,1,,5,,0,13,1,103,,13,0,,,,,0,0,0,0,0,0
216,Return,1,,20,100,0,10,2,122,,0,0,,,,,0,0,0,0,0,0
217,Present,1,,15,90,0,10,2,123,,0,0,,,,,0,0,0,0,0,0
218,Frustration,1,,20,100,0,10,2,124,,0,0,,,,,0,0,0,0,0,0
219,Safeguard,1,,25,,0,4,1,125,,11,0,,,,,0,0,0,0,0,0
220,Pain Split,1,,20,,0,10,1,92,,13,0,,,,,0,0,0,0,0,0
221,Sacred Fire,10,100,5,95,0,10,2,126,50,4,4,,,,,0,0,0,50,0,0
222,Magnitude,5,,30,100,0,9,2,127,,0,0,,,,,0,0,0,0,0,0
223,Dynamic Punch,2,100,5,50,0,10,2,77,100,4,6,,,2,5,0,0,0,100,0,0
224,Megahorn,7,120,10,85,0,10,2,1,,0,0,,,,,0,0,0,0,0,0
225,Dragon Breath,16,60,20,100,0,10,3,7,30,4,1,,,,,0,0,0,30,0,0
226,Baton Pass,1,,40,,0,7,1,128,,13,0,,,,,0,0,0,0,0,0
227,Encore,1,,5,100,0,10,1,91,,13,0,,,,,0,0,0,0,0,0
228,Pursuit,17,40,20,100,0,10,2,129,,0,0,,,,,0,0,0,0,0,0
229,Rapid Spin,1,50,40,100,0,10,2,130,100,7,0,,,,,0,0,0,0,0,100
230,Sweet Scent,1,,20,100,0,11,1,25,,2,0,,,,,0,0,0,0,0,0
231,Iron Tail,9,100,15,75,0,10,2,70,30,6,0,,,,,0,0,0,0,0,30
232,Metal Claw,9,50,35,95,0,10,2,140,10,7,0,,,,,0,0,0,0,0,10
233,Vital Throw,2,70,10,,-1,10,2,79,,0,0,,,,,0,0,0,0,0,0
234,Morning Sun,1,,5,,0,7,1,133,,3,0,,,,,0,50,0,0,0,0
235,Synthesis,12,,5,,0,7,1,133,,3,0,,,,,0,50,0,0,0,0
236,Moonlight,18,,5,,0,7,1,133,,3,0,,,,,0,50,0,0,0,0
237,Hidden Power,1,60,15,100,0,10,3,136,,0,0,,,,,0,0,0,0,0,0
238,Cross Chop,2,100,5,80,0,10,2,44,,0,0,,,,,0,0,1,0,0,0
239,Twister,16,40,20,100,0,11,3,147,20,0,0,,,,,0,0,0,0,20,0
240,Rain Dance,11,,5,,0,12,1,137,,10,0,,,,,0,0,0,0,0,0
241,Sunny Day,10,,5,,0,12,1,138,,10,0,,,,,0,0,0,0,0,0
242,Crunch,17,80,15,100,0,10,2,70,20,6,0,,,,,0,0,0,0,0,20
243,Mirror Coat,14,,20,100,-5,1,3,145,,0,0,,,,,0,0,0,0,0,0
244,Psych Up,1,,10,,0,10,1,144,,13,0,,,,,0,0,0,0,0,0
245,Extreme Speed,1,80,5,100,2,10,2,104,,0,0,,,,,0,0,0,0,0,0
246,Ancient Power,6,60,5,100,0,10,3,141,10,7,0,,,,,0,0,0,0,0,10
247,Shadow Ball,8,80,15,100,0,10,3,73,20,6,0,,,,,0,0,0,0,0,20
248,Future Sight,14,120,10,100,0,10,3,149,,13,0,,,,,0,0,0,0,0,0
249,Rock Smash,2,40,15,100,0,10,2,70,50,6,0,,,,,0,0,0,0,0,50
250,Whirlpool,11,35,15,85,0,10,3,262,100,4,8,,,5,6,0,0,0,100,0,0
251,Beat Up,17,,10,100,0,10,2,155,,0,0,6,6,,,0,0,0,0,0,0
252,Fake Out,1,40,10,100,3,10,2,159,100,0,0,,,,,0,0,0,0,100,0
253,Uproar,1,90,10,100,0,8,3,160,,0,0,,,,,0,0,0,0,0,0
254,Stockpile,1,,20,,0,7,1,161,,13,0,,,,,0,0,0,0,0,0
255,Spit Up,1,,10,100,0,10,3,162,,0,0,,,,,0,0,0,0,0,0
256,Swallow,1,,10,,0,7,1,163,,3,0,,,,,0,25,0,0,0,0
257,Heat Wave,10,95,10,90,0,11,3,5,10,4,4,,,,,0,0,0,10,0,0
258,Hail,15,,10,,0,12,1,165,,10,0,,,,,0,0,0,0,0,0
259,Torment,17,,15,100,0,10,1,166,,1,12,,,,,0,0,0,0,0,0
260,Flatter,17,,15,100,0,10,1,167,,5,6,,,2,5,0,0,0,0,0,0
261,Will O W,10,,15,85,0,10,1,168,,1,4,,,,,0,0,0,0,0,0
262,Memento,17,,10,100,0,10,1,169,,13,0,,,,,0,0,0,0,0,0
263,Facade,1,70,20,100,0,10,2,170,,0,0,,,,,0,0,0,0,0,0
264,Focus Punch,2,150,20,100,-3,10,2,171,,0,0,,,,,0,0,0,0,0,0
265,Smelling Salts,1,70,10,100,0,10,2,172,,0,0,,,,,0,0,0,0,0,0
266,Follow Me,1,,20,,2,7,1,173,,13,0,,,,,0,0,0,0,0,0
267,Nature Power,1,,20,,0,10,1,174,,13,0,,,,,0,0,0,0,0,0
268,Charge,13,,20,,0,7,1,175,,2,0,,,,,0,0,0,0,0,0
269,Taunt,17,,20,100,0,10,1,176,,13,0,,,,,0,0,0,0,0,0
270,Helping Hand,1,,20,,5,3,1,177,,13,0,,,,,0,0,0,0,0,0
271,Trick,14,,10,100,0,10,1,178,,13,0,,,,,0,0,0,0,0,0
272,Role Play,14,,10,,0,10,1,179,,13,0,,,,,0,0,0,0,0,0
273,Wish,1,,10,,0,7,1,180,,13,0,,,,,0,0,0,0,0,0
274,Assist,1,,20,,0,7,1,181,,13,0,,,,,0,0,0,0,0,0
275,Ingrain,12,,20,,0,7,1,182,,1,21,,,,,0,0,0,0,0,0
276,Superpower,2,120,5,100,0,10,2,183,100,7,0,,,,,0,0,0,0,0,100
277,Magic Coat,14,,15,,4,7,1,184,,13,0,,,,,0,0,0,0,0,0
278,Recycle,1,,10,,0,7,1,185,,13,0,,,,,0,0,0,0,0,0
279,Revenge,2,60,10,100,-4,10,2,186,,0,0,,,,,0,0,0,0,0,0
280,Brick Break,2,75,15,100,0,10,2,187,,0,0,,,,,0,0,0,0,0,0
281,Yawn,1,,10,,0,10,1,188,,1,14,,,2,2,0,0,0,0,0,0
282,Knock Off,17,65,20,100,0,10,2,189,,0,0,,,,,0,0,0,0,0,0
283,Endeavor,1,,5,100,0,10,2,190,,0,0,,,,,0,0,0,0,0,0
284,Eruption,10,150,5,100,0,11,3,191,,0,0,,,,,0,0,0,0,0,0
285,Skill Swap,14,,10,,0,10,1,192,,13,0,,,,,0,0,0,0,0,0
286,Imprison,14,,10,,0,7,1,193,,13,0,,,,,0,0,0,0,0,0
287,Refresh,1,,20,,0,7,1,194,,13,0,,,,,0,0,0,0,0,0
288,Grudge,8,,5,,0,7,1,195,,13,0,,,,,0,0,0,0,0,0
289,Snatch,17,,10,,4,7,1,196,,13,0,,,,,0,0,0,0,0,0
290,Secret Power,1,70,20,100,0,10,2,198,30,0,0,,,,,0,0,0,30,0,0
291,Dive,11,80,10,100,0,10,2,256,,0,0,,,,,0,0,0,0,0,0
292,Arm Thrust,2,15,20,100,0,10,2,30,,0,0,2,5,,,0,0,0,0,0,0
293,Camouflage,1,,20,,0,7,1,214,,13,0,,,,,0,0,0,0,0,0
294,Tail Glow,7,,20,,0,7,1,322,,2,0,,,,,0,0,0,0,0,0
295,Luster Purge,14,70,5,100,0,10,3,73,50,6,0,,,,,0,0,0,0,0,50
296,Mist Ball,14,70,5,100,0,10,3,72,50,6,0,,,,,0,0,0,0,0,50
297,Feather Dance,3,,15,100,0,10,1,59,,2,0,,,,,0,0,0,0,0,0
298,Teeter Dance,1,,20,100,0,9,1,200,,1,6,,,2,5,0,0,0,0,0,0
299,Blaze Kick,10,85,10,90,0,10,2,201,10,4,4,,,,,0,0,1,10,0,0
300,Mud Sport,5,,15,,0,12,1,202,,10,0,,,,,0,0,0,0,0,0
301,Ice Ball,15,30,20,90,0,10,2,118,,0,0,,,,,0,0,0,0,0,0
302,Needle Arm,12,60,15,100,0,10,2,32,30,0,0,,,,,0,0,0,0,30,0
303,Slack Off,1,,10,,0,7,1,33,,3,0,,,,,0,50,0,0,0,0
304,Hyper Voice,1,90,10,100,0,11,3,1,,0,0,,,,,0,0,0,0,0,0
305,Poison Fang,4,50,15,100,0,10,2,203,50,4,5,,,15,15,0,0,0,50,0,0
306,Crush Claw,1,75,10,95,0,10,2,70,50,6,0,,,,,0,0,0,0,0,50
307,Blast Burn,10,150,5,90,0,10,3,81,,0,0,,,,,0,0,0,0,0,0
